lang_name,S=5000,S=10000,S=15000,S=20000,S=25000
ara,0.2315868261289581,0.2927642637483094,0.3363200832359583,0.3731881621262928,0.4125582892774069
bul,0.46464824485062417,0.5829980907032881,0.6424569681545147,0.6781179007386398,0.7057861001838341
cat,0.49338126902579404,0.6043204488905212,0.663524021517486,0.6966018346156919,0.7218077486967152
ces,0.391516154021447,0.4886362796271406,0.5466592034685283,0.588633220871375,0.6159661615204028
dan,0.4855065008529572,0.5830703251160012,0.6403164514476648,0.6768180935795303,0.7058864329961912
deu,0.5322526375563745,0.6282607869852848,0.6825396117665729,0.7190428569939322,0.7401118517793853
ell,0.4258079812762912,0.5302663572094382,0.5909789741972327,0.6248259035136315,0.6555457767384039
eng,0.47459477489379903,0.5861635277424717,0.6455308334183827,0.6873960570143292,0.7122038376740535
est,0.2743009414855156,0.34913250696856934,0.40005731065597233,0.44345512353241134,0.47238716428182875
fas,0.5632925003962261,0.6535419155918549,0.7014886081993594,0.7246593569859887,0.7507635997664146
fin,0.5692829769756755,0.6752886071099822,0.7275677852568296,0.7576288803635391,0.7805806155838744
fra,0.2567579497661643,0.31324016554476086,0.35577805450086214,0.3894785501225177,0.4206805306365895
glg,0.506148671484649,0.6171389221314534,0.6747036152329411,0.7050079098223214,0.7315795502845901
heb,0.34041412981706787,0.4397867482755199,0.5074675102677814,0.5456806751302433,0.573412073478656
hin,0.408800407046605,0.5016517446376013,0.5663339358421448,0.609085352592649,0.6264095464680354
hun,0.47707716818544454,0.5863926616892797,0.6394885847193137,0.6704144333985307,0.6920608300208839
ind,0.32022297896570495,0.3791907482061554,0.426732393659547,0.45729684071050014,0.48581681116812364
ita,0.254354630995002,0.31197156500262224,0.3501139575931792,0.38024374542194905,0.4044328921018762
jpn,0.21948545541150483,0.26172576245938944,0.29895321410873027,0.3190853415956854,0.3457448811023436
kor,0.19266995034464668,0.2509566948852818,0.2912783311673145,0.32577982796378796,0.34288161753907365
lav,0.48388010162058426,0.5891748628931051,0.6596131259030916,0.6893513162918438,0.7180460420662234
nld,0.5101215550304261,0.6109576146437965,0.6696497203178977,0.7039593694282338,0.7308362357549841
nor,0.48713405736956883,0.586888831787028,0.6492643479012065,0.6807888878821591,0.698269551488099
pol,0.46819921638299233,0.5778850245886986,0.632951266602894,0.6684933539796921,0.6985436787494985
por,0.2700416370391067,0.3381063413832327,0.38211232401128103,0.42020456448245014,0.4534660523979013
ron,0.4552570583589214,0.5707435070491492,0.6277044803088504,0.6661859185879484,0.6899088880649171
rus,0.46612655631688926,0.5748349161048862,0.6260454068757808,0.6581988468262919,0.6816655494363351
slv,0.44390211836145793,0.5545255854586836,0.608746508586246,0.6477299706119153,0.6714180524607251
spa,0.24950620079901578,0.3092275393278502,0.35156775506249943,0.388835145557913,0.4076037225099264
swe,0.6692348360411492,0.7406792246136547,0.7836765850871539,0.8093938969188501,0.8309373420791455
tam,0.16401182012235224,0.2187526493576355,0.2561437585062024,0.2887595206802455,0.30738960866648046
tel,0.45361288094639896,0.53568764827961,0.5832327090847523,0.6052823244268682,0.6278425884170418
tgl,0.2653137861585973,0.3145863582244249,0.3588984903145332,0.39810334500493416,0.43014872291719775
tha,0.3566246174456904,0.40056168472316167,0.4517605164309674,0.47609928613971175,0.4904692095781911
tur,0.5038454160203603,0.6088450603386675,0.6603943453139052,0.6896446399585541,0.7123917551849204
ukr,0.47110116904112587,0.5844403006174079,0.6448938450667216,0.6772719158247126,0.695911409461573
urd,0.38413721814215523,0.47319579302585124,0.5400299844001012,0.5739910407941502,0.6047851586537719
vie,0.15937732060363513,0.2242353501711975,0.26166630080202224,0.288806342709397,0.3163476004661656
zho,0.22452083593101646,0.28096385618242115,0.3358265819783293,0.37839699275638095,0.3912733357638196
